SNO,Date,Time,ADC,Humidity_pct,Temp_C,Voltage_V
52,10-11-2025,14:29:24:452253,145.0,49.15,19.14,2.72
53,10-11-2025,14:29:25:452269,145.0,49.05,19.1,2.73
54,10-11-2025,14:29:26:458268,144.0,48.94,19.07,2.72
55,10-11-2025,14:29:27:464269,143.0,48.85,19.02,2.72
56,10-11-2025,14:29:28:464265,141.0,48.77,18.98,2.72
57,10-11-2025,14:29:29:470269,140.0,48.7,18.95,2.72
58,10-11-2025,14:29:30:476267,140.0,48.65,18.91,2.7
59,10-11-2025,14:29:31:477250,139.0,48.6,18.86,2.71
60,10-11-2025,14:29:32:479267,138.0,48.56,18.82,2.71
61,10-11-2025,14:29:33:485270,138.0,48.53,18.79,2.72
62,10-11-2025,14:29:34:486249,137.0,48.49,18.75,2.71
63,10-11-2025,14:29:35:486269,136.0,48.46,18.72,2.72
64,10-11-2025,14:29:36:492268,135.0,48.47,18.69,2.72
65,10-11-2025,14:29:37:498270,134.0,48.49,18.65,2.72
66,10-11-2025,14:29:38:504267,134.0,48.48,18.63,2.72
67,10-11-2025,14:29:39:510269,134.0,48.5,18.61,2.72
68,10-11-2025,14:29:40:516268,133.0,48.54,18.6,2.72
69,10-11-2025,14:29:41:522270,133.0,48.58,18.59,2.7
70,10-11-2025,14:29:42:531267,132.0,48.61,18.58,2.71
71,10-11-2025,14:29:43:532276,132.0,48.63,18.57,2.71
72,10-11-2025,14:29:44:532268,131.0,48.68,18.56,2.73
73,10-11-2025,14:29:45:538270,131.0,48.68,18.56,2.7
74,10-11-2025,14:29:46:544270,131.0,48.7,18.56,2.72
75,10-11-2025,14:29:47:550268,130.0,48.74,18.57,2.71
76,10-11-2025,14:29:48:556268,130.0,48.76,18.57,2.72
77,10-11-2025,14:29:49:557253,129.0,48.78,18.58,2.73
78,10-11-2025,14:29:50:561267,128.0,48.76,18.58,2.72
79,10-11-2025,14:29:51:561269,128.0,48.77,18.59,2.72
80,10-11-2025,14:29:52:566266,129.0,48.77,18.59,2.71
81,10-11-2025,14:29:53:572272,128.0,48.76,18.6,2.72
82,10-11-2025,14:29:54:579268,127.0,48.78,18.62,2.72
83,10-11-2025,14:29:55:585271,127.0,48.78,18.63,2.72
84,10-11-2025,14:29:56:591267,127.0,48.79,18.65,2.72
85,10-11-2025,14:29:57:597270,126.0,48.78,18.66,2.72
86,10-11-2025,14:29:58:603266,126.0,48.8,18.68,2.72
87,10-11-2025,14:29:59:609271,126.0,48.77,18.7,2.72
88,10-11-2025,14:30:00:610253,125.0,48.77,18.71,2.72
89,10-11-2025,14:30:01:616267,125.0,48.75,18.73,2.72
90,10-11-2025,14:30:02:622269,124.0,48.72,18.74,2.72
91,10-11-2025,14:30:03:628280,124.0,48.66,18.75,2.72
92,10-11-2025,14:30:04:634271,123.0,48.57,18.75,2.72
93,10-11-2025,14:30:05:640268,123.0,48.49,18.75,2.72
94,10-11-2025,14:30:06:646271,121.0,48.42,18.72,2.72
95,10-11-2025,14:30:07:652268,121.0,48.32,18.69,2.74
96,10-11-2025,14:30:08:658269,121.0,48.2,18.65,2.72
97,10-11-2025,14:30:09:664268,119.0,48.11,18.61,2.73
